Date,BlkCnt,PriceUSD,SplyCur,SplyCurRev,BTCPerBlock,S2F 30 Day,S2F 60 Day,S2F 90 Day,S2F 180 Day,S2F 365 Day,S2F 30 Day Price,S2F 60 Day Price,S2F 90 Day Price,S2F 180 Day Price,S2F 365 Day Price,,
7/19/09,70,,990000,-10000,50,,,,,,,,,,,,
7/20/09,70,,993500,-6500,50,,,,,,,,,,,,
7/21/09,82,,997600,-2400,50,,,,,,,,,,,,
7/22/09,60,,1000600,600,50,,,,,,,,,,,,
7/23/09,76,,1004400,4400,50,,,,,,,,,,,,
7/24/09,73,,1008050,8050,50,,,,,,,,,,,,
7/25/09,32,,1009650,9650,50,,,,,,,,,,,,
7/26/09,21,,1010700,10700,50,,,,,,,,,,,,
7/27/09,74,,1014400,14400,50,,,,,,,,,,,,
7/28/09,41,,1016450,16450,50,,,,,,,,,,,,
7/29/09,19,,1017400,17400,50,,,,,,,,,,,,
7/30/09,15,,1018150,18150,50,,,,,,,,,,,,
7/31/09,17,,1019000,19000,50,,,,,,,,,,,,
8/1/09,28,,1020400,20400,50,,,,,,,,,,,,
8/2/09,23,,1021550,21550,50,,,,,,,,,,,,
8/3/09,12,,1022150,22150,50,,,,,,,,,,,,
8/4/09,81,,1026200,26200,50,,,,,,,,,,,,
8/5/09,87,,1030550,30550,50,,,,,,,,,,,,
8/6/09,90,,1035050,35050,50,,,,,,,,,,,,
8/7/09,80,,1039050,39050,50,,,,,,,,,,,,
8/8/09,80,,1043050,43050,50,,,,,,,,,,,,
8/9/09,101,,1048100,48100,50,,,,,,,,,,,,
8/10/09,75,,1051850,51850,50,,,,,,,,,,,,
8/11/09,70,,1055350,55350,50,,,,,,,,,,,,
8/12/09,63,,1058500,58500,50,,,,,,,,,,,,
8/13/09,85,,1062750,62750,50,,,,,,,,,,,,
8/14/09,63,,1065900,65900,50,,,,,,,,,,,,
8/15/09,26,,1067200,67200,50,,,,,,,,,,,,
8/16/09,19,,1068150,68150,50,,,,,,,,,,,,
8/17/09,17,,1069000,69000,50,0.068742217,,,,,,,,,,,
8/18/09,10,,1069500,69500,50,0.071853192,,,,,,,,,,,
8/19/09,18,,1070400,70400,50,0.075244491,,,,,,,,,,,
8/20/09,22,,1071500,71500,50,0.079522494,,,,,,,,,,,
8/21/09,14,,1072200,72200,50,0.082880539,,,,,,,,,,,
8/22/09,7,,1072550,72550,50,0.087498367,,,,,,,,,,,
8/23/09,15,,1073300,73300,50,0.092331916,,,,,,,,,,,
8/24/09,15,,1074050,74050,50,0.094507785,,,,,,,,,,,
8/25/09,50,,1076550,76550,50,0.095547165,,,,,,,,,,,
8/26/09,48,,1078950,78950,50,0.10052736,,,,,,,,,,,
8/27/09,29,,1080400,80400,50,0.103334154,,,,,,,,,,,
8/28/09,75,,1084150,84150,50,0.103617054,,,,,,,,,,,
8/29/09,78,,1088050,88050,50,0.103533423,,,,,,,,,,,
8/30/09,97,,1092900,92900,50,0.103323632,,,,,,,,,,,
8/31/09,86,,1097200,97200,50,0.104023973,,,,,,,,,,,
9/1/09,78,,1101100,101100,50,0.104457436,,,,,,,,,,,
9/2/09,66,,1104400,104400,50,0.104326102,,,,,,,,,,,
9/3/09,61,,1107450,107450,50,0.108695469,,,,,,,,,,,
9/4/09,64,,1110650,110650,50,0.113539582,,,,,,,,,,,
9/5/09,76,,1114450,114450,50,0.118474173,,,,,,,,,,,
9/6/09,68,,1117850,117850,50,0.122922606,,,,,,,,,,,
9/7/09,78,,1121750,121750,50,0.127151834,,,,,,,,,,,
